question_id,source,question_type,play,question,expected_focus,system,retrieved_passages,generated_response,correctness_score,grounding_score,retrieval_relevance_score,usefulness_score,style_quality_score,comments
IQ1,instructor,contextual_qa,Macbeth,Why does Macbeth kill Duncan?,"Macbeth's ambition, the witches' prophecy, Duncan as an obstacle to the crown, and Lady Macbeth's pressure.",baseline,N/A - baseline uses no retrieval,"Macbeth kills Duncan because of his ambition and fear of failure. He believes that killing Duncan will make him a great king and ensure the throne for himself. His main motivation is to become the most powerful ruler in Scotland by taking over the crown, even if it means breaking the law or going against what he knows is right. Macbeth's character drives him to take this drastic action, driven by his desire for power and fear of being seen as weak compared to other kings.",3,,,3,,Correct on ambition and prophecy; misses Lady Macbeth pressure
IQ1,instructor,contextual_qa,Macbeth,Why does Macbeth kill Duncan?,"Macbeth's ambition, the witches' prophecy, Duncan as an obstacle to the crown, and Lady Macbeth's pressure.",rag,"Rank 1 | cosine similarity=0.7210
[Macbeth, Act 2, Scene 2]
[summary: Macbeth murders Duncan, and the couple reacts to guilt and fear.]
[keywords: Duncan, murder, blood]
[stage direction: Enter Lady Macbeth.]
LADY MACBETH: That which hath made them drunk hath made me bold; What hath quench'd them hath given me fire. Hark! Peace! It was the owl that shriek'd, the fatal bellman, Which gives the stern'st good night. He is about it: The doors are open, and the surfeited grooms Do mock their charge with snores. I have drugg'd their possets That death and natu...

---

Rank 2 | cosine similarity=0.7096
[Macbeth, Act 3, Scene 6]
[summary: Scottish nobles discuss Macbeth’s tyranny and hope for resistance.]
[keywords: tyranny, resistance]
FORRES: The palace.
[stage direction: Enter Lennox and another Lord.]
LENNOX: My former speeches have but hit your thoughts, Which can interpret farther; only I say Thing's have been strangely borne. The gracious Duncan Was pitied of Macbeth; marry, he was dead. And the right valiant Banquo walk'd too late, Whom, you may say, if't please you, Fleance kill'd, For Fleance fled. Men must no...

---

Rank 3 | cosine similarity=0.7089
[Macbeth, Act 1, Scene 4]
[summary: Duncan names Malcolm heir, creating an obstacle to Macbeth’s ambition.]
[keywords: Malcolm, succession, ambition]
FORRES: The palace.
FLOURISH: Enter Duncan, Malcolm, Donalbain, Lennox, and Attendants.
DUNCAN: Is execution done on Cawdor? Are not Those in commission yet return'd?
MALCOLM: My liege, They are not yet come back. But I have spoke With one that saw him die, who did report That very frankly he confess'd his treasons, Implored your Highness' pardon, and set forth A deep repen...

---

Rank 4 | cosine similarity=0.6517
[Macbeth, Act 1, Scene 6]
[summary: Duncan arrives at Macbeth’s castle, unaware of the planned betrayal.]
[keywords: Duncan, castle, irony]
[stage direction: Enter Duncan, Malcolm, Donalbain, Banquo, Lennox, Macduff, Ross,]
[stage direction: Angus,]
[stage direction: and Attendants.]
DUNCAN: This castle hath a pleasant seat; the air Nimbly and sweetly recommends itself Unto our gentle senses.
BANQUO: This guest of summer, The temple-haunting martlet, does approve By his loved mansionry that the heaven's breath Smells woo...

---

Rank 5 | cosine similarity=0.6443
[Macbeth, Act 2, Scene 1]
[summary: Macbeth sees a visionary dagger and moves toward Duncan’s chamber.]
[keywords: dagger, vision, guilt]
INVERNESS: Court of Macbeth's castle.
[stage direction: Enter Banquo and Fleance, bearing a torch before him.]
BANQUO: How goes the night, boy?
FLEANCE: The moon is down; I have not heard the clock.
BANQUO: And she goes down at twelve.
FLEANCE: I take't 'tis later, sir.
BANQUO: Hold, take my sword. There's husbandry in heaven, Their candles are all out. Take thee that too. A heavy summ...","Macbeth kills Duncan because he feels a strong sense of guilt and fear after committing the murder. He believes that killing Duncan is necessary to secure his position as king, despite knowing it will lead to terrible consequences for himself and those around him. The vision of the dagger in Act 2 Scene 1 further fuels Macbeth's motivation, making him feel compelled to act on his ambition even when he knows it is wrong.",3,3,5,3,,Strong retrieval (Act 2 Sc 2 at 0.72); answer misattributes some motivation
IQ2,instructor,concept_explanation,Hamlet,Who is Hamlet?,"Hamlet is the Prince of Denmark, son of the murdered King Hamlet, and the central figure in the revenge plot against Claudius.",baseline,N/A - baseline uses no retrieval,"Hamlet is Prince of Denmark and the main character in Shakespeare's play ""Hamlet."" He is a young man who has lost his father and uncle, leading him to be suspicious of his mother for marrying his father's new wife. This suspicion prompts him to investigate his father's death and ultimately leads him on a journey of self-discovery and revenge against those he believes wronged his father. Hamlet's motivation stems from the loss of his father and the betrayal by his mother, making him deeply troubled and seeking answers in an uncertain world.",2,,,2,,Incorrectly states Hamlet lost both father and uncle
IQ2,instructor,concept_explanation,Hamlet,Who is Hamlet?,"Hamlet is the Prince of Denmark, son of the murdered King Hamlet, and the central figure in the revenge plot against Claudius.",rag,"Rank 1 | cosine similarity=0.6558
[Hamlet, Act 2, Scene 2]
[summary: Rosencrantz and Guildenstern arrive; Hamlet plans to use players to test Claudius.]
[keywords: players, Mousetrap]
ELSINORE: A room in the Castle.
FLOURISH: [Enter King and Queen, Rosencrantz and Guildenstern, cum aliis.
CLAUDIUS: Welcome, dear Rosencrantz and Guildenstern. Moreover that we much did long to see you, The need we have to use you did provoke Our hasty sending. Something have you heard Of Hamlet's transformation. So I call it, Sith nor th' exterior nor the inward man Resem...

---

Rank 2 | cosine similarity=0.6181
[Hamlet, Act 3, Scene 1]
[summary: Hamlet reflects on existence, rejects Ophelia, and Claudius suspects danger.]
[keywords: to be or not to be, Ophelia]
ELSINORE: A room in the Castle.
[stage direction: Enter King, Queen, Polonius, Ophelia, Rosencrantz, Guildenstern,]
[stage direction: and Lords.]
CLAUDIUS: And can you by no drift of circumstance Get from him why he puts on this confusion, Grating so harshly all his days of quiet With turbulent and dangerous lunacy?
ROSENCRANTZ: He does confess he feels himself distract...

---

Rank 3 | cosine similarity=0.5977
[Hamlet, Act 4, Scene 1]
[summary: Gertrude tells Claudius that Hamlet killed Polonius.]
[keywords: Gertrude, Claudius]
ELSINORE: A room in the Castle.
[stage direction: Enter King and Queen, with Rosencrantz and Guildenstern.]
CLAUDIUS: There's matter in these sighs. These profound heaves You must translate; 'tis fit we understand them. Where is your son?
GERTRUDE: Bestow this place on us a little while.
[stage direction: Exeunt Rosencrantz and Guildenstern.]
[stage direction: Ah, mine own lord, what have I seen to-nig...

---

Rank 4 | cosine similarity=0.5848
[Hamlet, Act 4, Scene 2]
[summary: Hamlet refuses to reveal where Polonius’s body is.]
[keywords: body, Polonius]
ELSINORE: A passage in the Castle.
[stage direction: Enter Hamlet.]
HAMLET: Safely stow'd.
GENTLEMEN: (within) Hamlet! Lord Hamlet!
HAMLET: But soft! What noise? Who calls on Hamlet? O, here they come.
[stage direction: Enter Rosencrantz and Guildenstern.]
ROSENCRANTZ: What have you done, my lord, with the dead body?
HAMLET: Compounded it with dust, whereto 'tis kin.
ROSENCRANTZ: Tell us where 'tis, that we ...

---

Rank 5 | cosine similarity=0.5600
[Hamlet, Act 1, Scene 3]
[summary: Laertes and Polonius warn Ophelia about Hamlet.]
[keywords: Ophelia, Polonius]
ELSINORE: A room in the house of Polonius.
[stage direction: Enter Laertes and Ophelia.]
LAERTES: My necessaries are embark'd. Farewell. And, sister, as the winds give benefit And convoy is assistant, do not sleep, But let me hear from you.
OPHELIA: Do you doubt that?
LAERTES: For Hamlet, and the trifling of his favour, Hold it a fashion, and a toy in blood; A violet in the youth of primy nature, Forward, no...","Hamlet is a character from William Shakespeare's play ""Hamlet."" He is Prince Hamlet of Denmark. Hamlet is known for his indecision and mental turmoil due to the death of his father, King Hamlet, and the suspicion that his uncle Claudius may have murdered him and taken the throne.",3,2,3,3,,Retrieves mid-play scenes; Act 1 Sc 2 not in top 5
IQ3,instructor,concept_explanation,Romeo and Juliet,What is the conflict between the Montagues and the Capulets?,"A long-standing family feud that creates public violence, secrecy, and the conditions for Romeo and Juliet's tragedy.",baseline,N/A - baseline uses no retrieval,"The Montagues and the Capulets are two families in Shakespeare's play ""Romeo and Juliet."" They have a long-standing feud because of a tragic misunderstanding that occurred 50 years ago. The reason for this enmity is that they were enemies when Romeo, the son of the Montague family, met Juliet, the daughter of the Capulet family, at a ball.

The conflict arises from their families' hatred towards each other's names and the fact that both families have been fighting for generations over a long-standing grudge. This feud has led to many deaths in the past, including Romeo's parents, making it impossible for him to marry Juliet without causing another war between the two families.

Romeo, who is deeply in love with Juliet, cannot bear the thought of having to fight his family and ruin her chances of marrying a nobleman. This makes him determined to end their feud by getting married, despite knowing that he will be banished from both houses if they do so. The conflict between the Montagues and Capulets is thus rooted in the families' hatred for each other's names and the long-standing tradition of war between them.",2,,,2,,Invents wrong origin; claims Tybalt-Mercutio fight started the feud
IQ3,instructor,concept_explanation,Romeo and Juliet,What is the conflict between the Montagues and the Capulets?,"A long-standing family feud that creates public violence, secrecy, and the conditions for Romeo and Juliet's tragedy.",rag,"Rank 1 | cosine similarity=0.5683
[Romeo and Juliet, Act 1, Scene 2]
[summary: Paris asks to marry Juliet, while Romeo learns about the Capulet feast.]
[keywords: Paris, Juliet, feast]
[stage direction: Enter Capulet, County Paris, and [Servant] -the Clown.]
CAPULET: But Montague is bound as well as I, In penalty alike; and 'tis not hard, I think, For men so old as we to keep the peace.
PAR: Of honourable reckoning are you both, And pity 'tis you liv'd at odds so long. But now, my lord, what say you to my suit?
CAPULET: But saying o'er what I have said before: My...

---

Rank 2 | cosine similarity=0.5309
[Romeo and Juliet, Act 1, Scene 1]
[summary: A street fight shows the feud; Romeo is lovesick for Rosaline.]
[keywords: feud, Romeo, Rosaline]
VERONA: A public place.
[stage direction: Enter Sampson and Gregory (with swords and bucklers) of the house]
[stage direction: of Capulet.]
SAMPSON: Gregory, on my word, we'll not carry coals.
GREGORY: No, for then we should be colliers.
SAMPSON: I mean, an we be in choler, we'll draw.
GREGORY: Ay, while you live, draw your neck out of collar.
SAMPSON: I strike quickly, being moved.
GREGOR...

---

Rank 3 | cosine similarity=0.5052
[Romeo and Juliet, Act 0, Scene 0]
[summary: The prologue introduces the feud and announces that the lovers’ deaths will end it.]
[keywords: prologue, feud, fate]
[stage direction: Enter Chorus.]
CHORUS: Two households, both alike in dignity, In fair Verona, where we lay our scene, From ancient grudge break to new mutiny, Where civil blood makes civil hands unclean. From forth the fatal loins of these two foes A pair of star-cross'd lovers take their life; Whose misadventur'd piteous overthrows Doth with their death bury their pa...

---

Rank 4 | cosine similarity=0.4584
[Romeo and Juliet, Act 3, Scene 4]
[summary: Capulet promises Paris that Juliet will marry him.]
[keywords: Capulet, Paris]
[stage direction: Enter Old Capulet, his Wife, and Paris.]
CAPULET: Things have fall'n out, sir, so unluckily That we have had no time to move our daughter. Look you, she lov'd her kinsman Tybalt dearly, And so did I. Well, we were born to die. 'Tis very late; she'll not come down to-night. I promise you, but for your company, I would have been abed an hour ago.
PAR: These times of woe afford no tune to woo....

---

Rank 5 | cosine similarity=0.4569
[Romeo and Juliet, Act 3, Scene 1]
[summary: Tybalt kills Mercutio; Romeo kills Tybalt and is banished.]
[keywords: Tybalt, Mercutio, banishment]
[stage direction: Enter Mercutio, Benvolio, and Men.]
BENVOLIO: I pray thee, good Mercutio, let's retire. The day is hot, the Capulets abroad. And if we meet, we shall not scape a brawl, For now, these hot days, is the mad blood stirring.
MERCUTIO: Thou art like one of these fellows that, when he enters the confines of a tavern, claps me his sword upon the table and says 'God send me no...","The conflict between the Montagues and the Capulets in Romeo and Juliet is rooted in their long-standing feud. This feud began many years ago, as evidenced by the prologue's statement that ""From forth the fatal loins of these two foes A pair of star-cross'd lovers take their life."" The characters have been at odds for generations due to a complex mix of personal grievances, family rivalries, and societal tensions.

The main cause of this conflict is the rivalry between the families. Both houses are descended from noble families that were once allies but later became enemies over a dispute involving an inheritance. This feud has continued through several generations, with each side seeking revenge for past wrongs committed by their opponents.

The characters' motivations stem from both personal vendettas and broader societal pressures. They fight not just to settle old scores but also out of fear that the other side will gain the upper hand in matters of honor and reputation. The feud is a significant factor driving the plot, as it leads Romeo to meet Juliet under false pretenses and ultimately results in their tragic deaths.

The conflict between the Montagues and Capulets is thus driven by centuries-old enmity that has been passed down through generations, fueled by personal grievances and societal pressures, culminating in the deaths of Romeo and Juliet.",3,3,4,3,,Retrieves Prologue at rank 3; answer accurate about the ancient grudge
IQ4,instructor,contextual_qa,Hamlet,Why does Hamlet delay taking revenge?,"Hamlet delays because of uncertainty, moral hesitation, desire for proof of Claudius's guilt, and reflective/philosophical thinking.",baseline,N/A - baseline uses no retrieval,"Hamlet delays taking revenge because he is deeply troubled by the ghost of his father and the murder that led to his death. He feels a strong sense of guilt for failing to protect his family from the villain Claudius, who took the throne through trickery. Hamlet's hesitation stems from wanting to ensure justice is served properly and to avoid being seen as too eager or rash in taking revenge. His indecision allows him time to think deeply about the situation and consider whether he truly has the strength or right to avenge his father's death.",3,,,3,,Covers moral hesitation; vague on proof-seeking and philosophical delay
IQ4,instructor,contextual_qa,Hamlet,Why does Hamlet delay taking revenge?,"Hamlet delays because of uncertainty, moral hesitation, desire for proof of Claudius's guilt, and reflective/philosophical thinking.",rag,"Rank 1 | cosine similarity=0.5929
[Hamlet, Act 2, Scene 2]
[summary: Rosencrantz and Guildenstern arrive; Hamlet plans to use players to test Claudius.]
[keywords: players, Mousetrap]
ELSINORE: A room in the Castle.
FLOURISH: [Enter King and Queen, Rosencrantz and Guildenstern, cum aliis.
CLAUDIUS: Welcome, dear Rosencrantz and Guildenstern. Moreover that we much did long to see you, The need we have to use you did provoke Our hasty sending. Something have you heard Of Hamlet's transformation. So I call it, Sith nor th' exterior nor the inward man Resem...

---

Rank 2 | cosine similarity=0.5910
[Hamlet, Act 3, Scene 1]
[summary: Hamlet reflects on existence, rejects Ophelia, and Claudius suspects danger.]
[keywords: to be or not to be, Ophelia]
ELSINORE: A room in the Castle.
[stage direction: Enter King, Queen, Polonius, Ophelia, Rosencrantz, Guildenstern,]
[stage direction: and Lords.]
CLAUDIUS: And can you by no drift of circumstance Get from him why he puts on this confusion, Grating so harshly all his days of quiet With turbulent and dangerous lunacy?
ROSENCRANTZ: He does confess he feels himself distract...

---

Rank 3 | cosine similarity=0.5457
[Hamlet, Act 4, Scene 1]
[summary: Gertrude tells Claudius that Hamlet killed Polonius.]
[keywords: Gertrude, Claudius]
ELSINORE: A room in the Castle.
[stage direction: Enter King and Queen, with Rosencrantz and Guildenstern.]
CLAUDIUS: There's matter in these sighs. These profound heaves You must translate; 'tis fit we understand them. Where is your son?
GERTRUDE: Bestow this place on us a little while.
[stage direction: Exeunt Rosencrantz and Guildenstern.]
[stage direction: Ah, mine own lord, what have I seen to-nig...

---

Rank 4 | cosine similarity=0.5416
[Hamlet, Act 3, Scene 4]
[summary: Hamlet confronts Gertrude and kills Polonius behind the arras.]
[keywords: Gertrude, Polonius]
[stage direction: Enter Queen and Polonius.]
POLONIUS: He will come straight. Look you lay home to him. Tell him his pranks have been too broad to bear with, And that your Grace hath screen'd and stood between Much heat and him. I'll silence me even here. Pray you be round with him.
HAMLET: (within) Mother, mother, mother!
GERTRUDE: I'll warrant you; fear me not. Withdraw; I hear him coming.
...

---

Rank 5 | cosine similarity=0.5390
[Hamlet, Act 4, Scene 4]
[summary: Hamlet compares himself to Fortinbras and criticises his delay.]
[keywords: Fortinbras, delay]
[stage direction: Enter Fortinbras with his Army over the stage.]
FOR: Go, Captain, from me greet the Danish king. Tell him that by his license Fortinbras Craves the conveyance of a promis'd march Over his kingdom. You know the rendezvous. If that his Majesty would aught with us, We shall express our duty in his eye; And let him know so.
CAPTAIN: I will do't, my lord.
FOR: Go softly on.
[stag...","Hamlet delays taking revenge because he is conflicted and unsure of how to act. He wants to protect his own life by not killing Claudius right away, as it would be too dangerous for him to do so without evidence that Claudius committed the murder. Additionally, Hamlet has a moral dilemma about whether to take revenge at all, considering the consequences and potential harm caused by such actions.",3,2,3,3,,Retrieves Mousetrap and To be scenes; answer mostly correct
IQ5,instructor,stylised_generation,Romeo and Juliet,Generate a short Shakespearean-style response from Juliet explaining her conflict after meeting Romeo.,Creative stylised output under 150 words; Juliet's conflict between love for Romeo and loyalty to the Capulet family.,baseline,N/A - baseline uses no retrieval,"When I met my Romeo by the Capulet orchard,
I was overcome with love and joy so great.
Our hands entwined, our hearts were one in bliss,
A bond that could not be broken or denied.  
But then came Friar Laurence's wise proposal,
To marry us to seal this union of heart.
The fear of death, the pain of separation,
Was a weight on my soul, I confess.
Yet he said it would bring peace and comfort,
And so we agreed to make his plan our best.
But still, within me burned a burning fire,
A love that could not be contained or reined.  
It was this conflict that made my heart ache,
For Romeo's name was the only thing I'd crave.
I knew he loved me too, but fate had its way,
And now we're parted by the fates' decree.
My heart aches for him in his love's embrace,
While mine ails from Friar Laurence's wise command.  
Yet still I hold my head high and am not weak,
For love is strong as death, and wealth as flight.",2,,,2,2,Some poetic feel; not convincingly Shakespearean; not labelled creative
IQ5,instructor,stylised_generation,Romeo and Juliet,Generate a short Shakespearean-style response from Juliet explaining her conflict after meeting Romeo.,Creative stylised output under 150 words; Juliet's conflict between love for Romeo and loyalty to the Capulet family.,rag,"Rank 1 | cosine similarity=0.6201
[Romeo and Juliet, Act 2, Scene 2]
[summary: Romeo and Juliet confess love and plan marriage in the balcony scene.]
[keywords: balcony, marriage]
[stage direction: Enter Romeo.]
ROMEO: He jests at scars that never felt a wound.
[stage direction: Enter Juliet above at a window.]
[stage direction: But soft! What light through yonder window breaks?]
[stage direction: It is the East, and Juliet is the sun!]
[stage direction: Arise, fair sun, and kill the envious moon,]
[stage direction: Who is already sick and pale with grief]
[stage...

---

Rank 2 | cosine similarity=0.6184
[Romeo and Juliet, Act 1, Scene 5]
[summary: Romeo and Juliet meet and fall in love before learning they are from enemy families.]
[keywords: meeting, love, feud]
[stage direction: Servingmen come forth with napkins.]
[stage direction: 1. Serv. Where's Potpan, that he helps not to take away?]
[stage direction: He shift a trencher! he scrape a trencher!]
[stage direction: 2. Serv. When good manners shall lie all in one or two men's]
[stage direction: hands,]
[stage direction: and they unwash'd too, 'tis a foul thing.]
[stage direc...

---

Rank 3 | cosine similarity=0.5816
[Romeo and Juliet, Act 2, Scene 6]
[summary: Romeo and Juliet marry secretly.]
[keywords: secret marriage]
[stage direction: Enter Friar [Laurence] and Romeo.]
FRIAR LAURENCE: So smile the heavens upon this holy act That after-hours with sorrow chide us not!
ROMEO: Amen, amen! But come what sorrow can, It cannot countervail the exchange of joy That one short minute gives me in her sight. Do thou but close our hands with holy words, Then love-devouring death do what he dare- It is enough I may but call her mine.
FRIAR LAURENCE: Th...

---

Rank 4 | cosine similarity=0.5717
[Romeo and Juliet, Act 1, Scene 4]
[summary: Romeo and friends prepare for the Capulet party; Mercutio mocks dreams.]
[keywords: Mercutio, dreams]
[stage direction: Enter Romeo, Mercutio, Benvolio, with five or six other Maskers;]
[stage direction: Torchbearers.]
ROMEO: What, shall this speech be spoke for our excuse? Or shall we on without apology?
BENVOLIO: The date is out of such prolixity. We'll have no Cupid hoodwink'd with a scarf, Bearing a Tartar's painted bow of lath, Scaring the ladies like a crowkeeper; Nor no without-...

---

Rank 5 | cosine similarity=0.5705
[Romeo and Juliet, Act 5, Scene 1]
[summary: Romeo hears Juliet is dead and buys poison.]
[keywords: Romeo, poison]
MANTUA: A street.
[stage direction: Enter Romeo.]
ROMEO: If I may trust the flattering truth of sleep My dreams presage some joyful news at hand. My bosom's lord sits lightly in his throne, And all this day an unaccustom'd spirit Lifts me above the ground with cheerful thoughts. I dreamt my lady came and found me dead (Strange dream that gives a dead man leave to think!) And breath'd such life with kisses in my lips...","O, what mischievous slights did I receive From the fair sun of love! How could I have Known that his gentle beams would pierce my heart's Core with such keen and piercing intent? Yet now, as I gazed upon thee, The East revealed thy radiant beauty, And I was lost in its embrace. My soul was transfixed by thine enchanting grace, And though the moon had once been a source of grief, Now it shines on us without a single care. O, that my love could be but mine alone! With thy lips and eyes, with every part of thee, All is now thine, and I am thine for all time.

O, what mischievous slights did I receive From the fair sun of love! How could I have Known that his gentle beams would pierce my heart's Core with such keen and piercing intent? Yet",3,3,5,3,3,Retrieves balcony scene correctly; uses Shakespearean vocabulary; no explicit label
